commits_count,commits_f_1w,commits_f_1m,commits_f_6m,commits_f_1y,commits_f_all,issues_count,issues_f_1w,issues_f_1m,issues_f_6m,issues_f_1y,issues_f_all,closed_issues_count,closed_issues_f_1w,closed_issues_f_1m,closed_issues_f_6m,closed_issues_f_1y,closed_issues_f_all,closed_issues_time_1w,closed_issues_time_1m,closed_issues_time_6m,closed_issues_time_1y,closed_issues_time_all,comments_count,comments_f_1w,comments_f_1m,comments_f_6m,comments_f_1y,comments_f_all,pulls_count,pulls_f_1w,pulls_f_1m,pulls_f_6m,pulls_f_1y,pulls_f_all,closed_pulls_count,closed_pulls_f_1w,closed_pulls_f_1m,closed_pulls_f_6m,closed_pulls_f_1y,closed_pulls_f_all,closed_pulls_time_1w,closed_pulls_time_1m,closed_pulls_time_6m,closed_pulls_time_1y,closed_pulls_time_all,pulls_comments_count,pulls_comments_f_1w,pulls_comments_f_1m,pulls_comments_f_6m,pulls_comments_f_1y,pulls_comments_f_all,events_count,events_f_1w,events_f_1m,events_f_6m,events_f_1y,events_f_all,contrib_count,contrib_others,contrib_p25_1w,contrib_p50_1w,contrib_p75_1w,contrib_p25_1m,contrib_p50_1m,contrib_p75_1m,contrib_p25_6m,contrib_p50_6m,contrib_p75_6m,contrib_p25_1y,contrib_p50_1y,contrib_p75_1y,contrib_p25_all,contrib_p50_all,contrib_p75_all,ccomments_count,ccomments_f_1w,ccomments_f_1m,ccomments_f_6m,ccomments_f_1y,ccomments_f_all,forks_count,forks_f_1w,forks_f_1m,forks_f_6m,forks_f_1y,forks_f_all,days_active,fork,result
52,0.0,0.5,0.6842105263160001,0.6842105263160001,0.6842105263160001,2,0.0,0.03125,0.0263157894737,0.0263157894737,0.0263157894737,2,0.0,0.03125,0.0263157894737,0.0263157894737,0.0263157894737,?,1.0,0.5,0.5,0.5,13,0.0,0.3125,0.17105263157900005,0.17105263157900005,0.17105263157900005,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,49,0.0,1.09375,0.644736842105,0.644736842105,0.644736842105,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.013157894736799998,0.013157894736799998,0.013157894736799998,76,False,20.0
30,10.0,10.0,10.0,10.0,10.0,3,1.0,1.0,1.0,1.0,1.0,2,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.5,1.5,1.5,1.5,1.5,2,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,False,9.09090909091
49,0.0,0.0,0.0,0.0,0.0433628318584,1,0.0,0.0,0.0,0.0,0.000884955752212,1,0.0,0.0,0.0,0.0,0.000884955752212,?,?,?,?,6.0,8,0.0,0.0,0.0,0.0,0.0070796460177,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.00273224043716,0.0017699115044200004,1130,False,2.0
14,14.0,14.0,14.0,14.0,14.0,8,8.0,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0,851.875,851.875,851.875,851.875,851.875,3,3.0,3.0,3.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,False,0.0
11,5.5,5.5,5.5,5.5,5.5,1,0.5,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,3,1.5,1.5,1.5,1.5,1.5,0,0.0,0.0,0.0,0.0,0.0,2,False,0.0
6,0.0,0.0,0.0,0.0246913580247,0.0246913580247,1,0.0,0.0,0.0,0.00411522633745,0.00411522633745,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,243,False,33.3333333333
12,0.0,0.0,0.2,0.2,0.2,6,0.0,0.0,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,2,0.0,0.0,0.0333333333333,0.0333333333333,0.0333333333333,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,60,False,20.0
1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,False,0.0
13,1.125,1.08333333333,1.08333333333,1.08333333333,1.08333333333,1,0.125,0.08333333333330001,0.08333333333330001,0.08333333333330001,0.08333333333330001,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12,False,58.064516129
21,0.0,0.0689655172414,0.308823529412,0.308823529412,0.308823529412,1,0.125,0.0344827586207,0.0147058823529,0.0147058823529,0.0147058823529,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,19,0.125,0.103448275862,0.279411764706,0.279411764706,0.279411764706,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,68,False,4.54545454545
156,0.0,0.0,0.0486486486486,0.131147540984,0.251207729469,9,0.0,0.0,0.0,0.0136612021858,0.0144927536232,4,0.0,0.0,0.0,0.00273224043716,0.00644122383253,?,?,?,0.0,2.5,9,0.0,0.0,0.0,0.00546448087432,0.0144927536232,1,0.0,0.0,0.0,0.00273224043716,0.0016103059581300005,1,0.0,0.0,0.0,0.00273224043716,0.0016103059581300005,?,?,?,58.0,58.0,1,0.0,0.0,0.0,0.00273224043716,0.0016103059581300005,0,0.0,0.0,0.0,0.0,0.0,2,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0162162162162,0.0273224043716,0.027375201288200004,621,False,10.3448275862
