id,full_name,fork,created_at,first_commit,days_active,last_commit,commits_count,commits_f_1w,commits_f_1m,commits_f_6m,commits_f_1y,commits_f_all,issues_count,issues_f_1w,issues_f_1m,issues_f_6m,issues_f_1y,issues_f_all,closed_issues_count,closed_issues_f_1w,closed_issues_f_1m,closed_issues_f_6m,closed_issues_f_1y,closed_issues_f_all,closed_issues_time_1w,closed_issues_time_1m,closed_issues_time_6m,closed_issues_time_1y,closed_issues_time_all,comments_count,comments_f_1w,comments_f_1m,comments_f_6m,comments_f_1y,comments_f_all,pulls_count,pulls_f_1w,pulls_f_1m,pulls_f_6m,pulls_f_1y,pulls_f_all,closed_pulls_count,closed_pulls_f_1w,closed_pulls_f_1m,closed_pulls_f_6m,closed_pulls_f_1y,closed_pulls_f_all,closed_pulls_time_1w,closed_pulls_time_1m,closed_pulls_time_6m,closed_pulls_time_1y,closed_pulls_time_all,pulls_comments_count,pulls_comments_f_1w,pulls_comments_f_1m,pulls_comments_f_6m,pulls_comments_f_1y,pulls_comments_f_all,events_count,events_f_1w,events_f_1m,events_f_6m,events_f_1y,events_f_all,contrib_count,contrib_others,contrib_p25_1w,contrib_p50_1w,contrib_p75_1w,contrib_p25_1m,contrib_p50_1m,contrib_p75_1m,contrib_p25_6m,contrib_p50_6m,contrib_p75_6m,contrib_p25_1y,contrib_p50_1y,contrib_p75_1y,contrib_p25_all,contrib_p50_all,contrib_p75_all,ccomments_count,ccomments_f_1w,ccomments_f_1m,ccomments_f_6m,ccomments_f_1y,ccomments_f_all,forks_count,forks_f_1w,forks_f_1m,forks_f_6m,forks_f_1y,forks_f_all,freq_ratio,percentage_remains,future_freq_1w,future_freq_1m,future_freq_6m,future_freq_1y
27184425,olmokramer/atom-dark-flat-ui,False,2014-11-26T16:00:00Z,2014-11-26,76,2015-02-09,52,0.0,0.5,0.6842105263160001,0.6842105263160001,0.6842105263160001,2,0.0,0.03125,0.026315789473700002,0.026315789473700002,0.026315789473700002,2,0.0,0.03125,0.026315789473700002,0.026315789473700002,0.026315789473700002,?,1.0,0.5,0.5,0.5,13,0.0,0.3125,0.17105263157900003,0.17105263157900003,0.17105263157900003,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,49,0.0,1.09375,0.644736842105,0.644736842105,0.644736842105,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.013157894736799998,0.013157894736799998,0.013157894736799998,?,20.0,0.25,0.137931034483,?,?
1466512,gnagno/quidgets2,False,2011-03-11T02:55:19Z,2011-03-11,3,2011-03-13,30,10.0,10.0,10.0,10.0,10.0,3,1.0,1.0,1.0,1.0,1.0,2,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.5,1.5,1.5,1.5,1.5,2,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,9.090909090910001,0.375,0.09375,0.0162162162162,0.00817438692098
2086490,luislavena/service_wrapper,False,2011-07-22T00:41:29Z,2011-07-18,1130,2014-08-20,49,0.0,0.0,0.0,0.0,0.0433628318584,1,0.0,0.0,0.0,0.0,0.000884955752212,1,0.0,0.0,0.0,0.0,0.000884955752212,?,?,?,?,6.0,8,0.0,0.0,0.0,0.0,0.0070796460177,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.00273224043716,0.0017699115044200002,?,2.0,0.0,0.0,0.005405405405409999,?
1331176,jacobat/hop,False,2011-02-05T10:58:41Z,2011-02-05,1,2011-02-05,14,14.0,14.0,14.0,14.0,14.0,8,8.0,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0,851.875,851.875,851.875,851.875,851.875,3,3.0,3.0,3.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25007386,pofystyy/ruby,False,2014-10-09T20:31:59Z,2014-10-09,2,2014-10-10,11,5.5,5.5,5.5,5.5,5.5,1,0.5,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,3,1.5,1.5,1.5,1.5,1.5,0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,?,?
8819026,kozko2001/stash-extension,False,2013-03-16T13:21:29Z,2013-03-16,243,2013-11-13,6,0.0,0.0,0.0,0.0246913580247,0.0246913580247,1,0.0,0.0,0.0,0.00411522633745,0.00411522633745,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,33.3333333333,0.0,0.0,0.005494505494510001,0.008196721311479999
23097969,hechangmin/hechangmin.github.com,False,2014-08-19T05:25:45Z,2014-08-19,60,2014-10-17,12,0.0,0.0,0.2,0.2,0.2,6,0.0,0.0,0.1,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,2,0.0,0.0,0.0333333333333,0.0333333333333,0.0333333333333,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,20.0,0.0,0.0,?,?
25810008,wlihuay/hello-world,False,2014-10-27T08:37:09Z,2014-10-27,1,2014-10-27,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,?,?
26254042,alanhdu/Vind,False,2014-11-06T04:36:49Z,2014-10-30,12,2014-11-10,13,1.125,1.08333333333,1.08333333333,1.08333333333,1.08333333333,1,0.125,0.08333333333330001,0.08333333333330001,0.08333333333330001,0.08333333333330001,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,58.064516129,0.875,0.5806451612899999,?,?
28496330,sarahbethfederman/Chadder-Redesign,False,2014-12-26T02:01:07Z,2014-12-24,68,2015-03-01,21,0.0,0.0689655172414,0.308823529412,0.308823529412,0.308823529412,1,0.125,0.0344827586207,0.0147058823529,0.0147058823529,0.0147058823529,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,19,0.125,0.103448275862,0.279411764706,0.279411764706,0.279411764706,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,4.54545454545,0.0,?,?,?
